,Neighbors,Confusion Matrix
0,5,"[167, 144, 118, 351]"
1,10,"[197, 114, 133, 336]"
2,12,"[199, 112, 132, 337]"
3,14,"[193, 118, 127, 342]"
4,16,"[199, 112, 127, 342]"
5,20,"[190, 121, 120, 349]"
