,Neighbors,Confusion Matrix
0,5,"[147, 163, 114, 355]"
1,10,"[177, 133, 122, 347]"
2,12,"[180, 130, 131, 338]"
3,14,"[190, 120, 127, 342]"
4,16,"[185, 125, 134, 335]"
5,20,"[176, 134, 127, 342]"
