,Alpha,Confusion Matrix
0,0.0001,"[149, 161, 107, 362]"
1,0.0005,"[178, 132, 114, 355]"
2,0.0008,"[158, 152, 105, 364]"
3,0.001,"[157, 153, 105, 364]"
4,0.002,"[146, 164, 92, 377]"
5,0.003,"[149, 161, 88, 381]"
6,0.004,"[139, 171, 86, 383]"
7,0.005,"[135, 175, 84, 385]"
8,0.01,"[131, 179, 80, 389]"
