,Neighbors,Estimators,Confusion Matrix
0,12,50,"[984, 72, 289, 104]"
1,12,100,"[986, 70, 289, 104]"
2,12,150,"[987, 69, 293, 100]"
3,14,50,"[984, 72, 290, 103]"
4,14,100,"[985, 71, 289, 104]"
5,14,150,"[987, 69, 290, 103]"
6,16,50,"[986, 70, 287, 106]"
7,16,100,"[987, 69, 286, 107]"
8,16,150,"[988, 68, 287, 106]"
