,Alpha,Confusion Matrix
0,0.0001,"[68, 243, 29, 440]"
1,0.0005,"[110, 201, 60, 409]"
2,0.0008,"[111, 200, 59, 410]"
3,0.001,"[114, 197, 52, 417]"
4,0.002,"[124, 187, 51, 418]"
5,0.003,"[123, 188, 59, 410]"
6,0.004,"[117, 194, 52, 417]"
7,0.005,"[91, 220, 49, 420]"
8,0.01,"[68, 243, 39, 430]"
