,Neighbors,Confusion Matrix
0,5,"[179, 131, 136, 333]"
1,10,"[190, 120, 144, 325]"
2,12,"[190, 120, 131, 338]"
3,14,"[189, 121, 132, 337]"
4,16,"[183, 127, 130, 339]"
5,20,"[181, 129, 125, 344]"
