,Neighbors,Confusion Matrix
0,5,"[150, 160, 117, 352]"
1,10,"[168, 142, 121, 348]"
2,12,"[166, 144, 123, 346]"
3,14,"[163, 147, 127, 342]"
4,16,"[166, 144, 129, 340]"
5,20,"[154, 156, 116, 353]"
