,Alpha,Confusion Matrix
0,0.0001,"[180, 130, 121, 348]"
1,0.0005,"[177, 133, 109, 360]"
2,0.0008,"[149, 161, 78, 391]"
3,0.001,"[153, 157, 81, 388]"
4,0.002,"[147, 163, 78, 391]"
5,0.003,"[154, 156, 90, 379]"
6,0.004,"[142, 168, 76, 393]"
7,0.005,"[142, 168, 75, 394]"
8,0.01,"[134, 176, 74, 395]"
