,Neighbors,Confusion Matrix
0,5,"[164, 146, 122, 347]"
1,10,"[178, 132, 129, 340]"
2,12,"[175, 135, 130, 339]"
3,14,"[172, 138, 132, 337]"
4,16,"[171, 139, 125, 344]"
5,20,"[165, 145, 121, 348]"
