,Neighbors,Confusion Matrix
0,5,"[156, 154, 113, 356]"
1,10,"[202, 108, 156, 313]"
2,12,"[190, 120, 144, 325]"
3,14,"[188, 122, 139, 330]"
4,16,"[186, 124, 134, 335]"
5,20,"[178, 132, 137, 332]"
