,Alpha,Confusion Matrix
0,0.0001,"[96, 214, 34, 435]"
1,0.0005,"[125, 185, 64, 405]"
2,0.0008,"[101, 209, 50, 419]"
3,0.001,"[126, 184, 59, 410]"
4,0.002,"[86, 224, 41, 428]"
5,0.003,"[114, 196, 54, 415]"
6,0.004,"[110, 200, 49, 420]"
7,0.005,"[123, 187, 61, 408]"
8,0.01,"[77, 233, 39, 430]"
