,Alpha,Confusion Matrix
0,0.0001,"[189, 121, 92, 377]"
1,0.0005,"[139, 171, 62, 407]"
2,0.0008,"[150, 160, 69, 400]"
3,0.001,"[147, 163, 70, 399]"
4,0.002,"[162, 148, 74, 395]"
5,0.003,"[155, 155, 74, 395]"
6,0.004,"[152, 158, 70, 399]"
7,0.005,"[150, 160, 71, 398]"
8,0.01,"[147, 163, 69, 400]"
