,Neighbors,Confusion Matrix
0,5,"[146, 164, 106, 364]"
1,10,"[177, 133, 120, 350]"
2,12,"[173, 137, 107, 363]"
3,14,"[174, 136, 114, 356]"
4,16,"[179, 131, 114, 356]"
5,20,"[176, 134, 93, 377]"
