,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,"[1006, 50, 293, 100]","[995, 61, 322, 71]","[1002, 54, 319, 74]","[992, 64, 309, 84]","[998, 58, 308, 85]","[989, 67, 311, 82]","[999, 57, 316, 77]","[1000, 56, 296, 97]","[1003, 53, 313, 80]","[988, 68, 314, 78]"
1,rbf,0.1,1.0,,"[1024, 32, 320, 73]","[1010, 46, 342, 51]","[1016, 40, 342, 51]","[1019, 37, 339, 54]","[1015, 41, 325, 68]","[1006, 50, 330, 63]","[1024, 32, 333, 60]","[1020, 36, 327, 66]","[1016, 40, 332, 61]","[1003, 53, 327, 65]"
2,poly,0.1,1.0,2.0,"[1025, 31, 316, 77]","[1011, 45, 343, 50]","[1014, 42, 336, 57]","[1015, 41, 335, 58]","[1011, 45, 323, 70]","[988, 68, 314, 79]","[1004, 52, 321, 72]","[1017, 39, 323, 70]","[1016, 40, 330, 63]","[991, 65, 317, 75]"
3,poly,0.1,1.0,3.0,"[1017, 39, 307, 86]","[1007, 49, 339, 54]","[1010, 46, 332, 61]","[1006, 50, 320, 73]","[1008, 48, 317, 76]","[1001, 55, 320, 73]","[998, 58, 316, 77]","[1015, 41, 313, 80]","[1011, 45, 330, 63]","[998, 58, 319, 73]"
4,rbf,0.1,10.0,,"[1030, 26, 327, 66]","[1012, 44, 343, 50]","[1006, 50, 335, 58]","[1016, 40, 344, 49]","[1016, 40, 327, 66]","[1008, 48, 331, 62]","[1024, 32, 337, 56]","[1023, 33, 328, 65]","[1016, 40, 333, 60]","[1004, 52, 327, 65]"
5,poly,0.1,10.0,2.0,"[1013, 43, 305, 88]","[1004, 52, 338, 55]","[1010, 46, 336, 57]","[1008, 48, 323, 70]","[1010, 46, 318, 75]","[987, 69, 314, 79]","[1000, 56, 319, 74]","[1016, 40, 318, 75]","[1014, 42, 326, 67]","[997, 59, 319, 73]"
6,poly,0.1,10.0,3.0,"[1014, 42, 303, 90]","[1001, 55, 330, 63]","[1002, 54, 331, 62]","[1001, 55, 316, 77]","[999, 57, 309, 84]","[992, 64, 313, 80]","[1017, 39, 324, 69]","[1010, 46, 303, 90]","[1006, 50, 322, 71]","[990, 66, 314, 78]"
7,linear,1.0,,,"[1006, 50, 293, 100]","[995, 61, 322, 71]","[1002, 54, 319, 74]","[992, 64, 309, 84]","[998, 58, 308, 85]","[989, 67, 311, 82]","[999, 57, 316, 77]","[1000, 56, 296, 97]","[1003, 53, 313, 80]","[988, 68, 314, 78]"
8,rbf,1.0,1.0,,"[1015, 41, 306, 87]","[1004, 52, 334, 59]","[1004, 52, 331, 62]","[1005, 51, 321, 72]","[1002, 54, 309, 84]","[997, 59, 313, 80]","[1017, 39, 324, 69]","[1010, 46, 303, 90]","[1007, 49, 322, 71]","[992, 64, 314, 78]"
9,poly,1.0,1.0,2.0,"[1019, 37, 311, 82]","[1008, 48, 340, 53]","[1014, 42, 336, 57]","[1007, 49, 321, 72]","[1010, 46, 323, 70]","[987, 69, 314, 79]","[1000, 56, 319, 74]","[1016, 40, 319, 74]","[1016, 40, 330, 63]","[991, 65, 317, 75]"
10,poly,1.0,1.0,3.0,"[1014, 42, 306, 87]","[1005, 51, 336, 57]","[1002, 54, 331, 62]","[1005, 51, 321, 72]","[1000, 56, 309, 84]","[992, 64, 313, 80]","[1016, 40, 324, 69]","[1012, 44, 306, 87]","[1006, 50, 322, 71]","[990, 66, 314, 78]"
11,rbf,1.0,10.0,,"[1015, 41, 306, 87]","[1005, 51, 337, 56]","[1002, 54, 331, 62]","[1008, 48, 322, 71]","[1002, 54, 309, 84]","[997, 59, 313, 80]","[1019, 37, 325, 68]","[1012, 44, 303, 90]","[1007, 49, 322, 71]","[992, 64, 314, 78]"
12,poly,1.0,10.0,2.0,"[1011, 45, 302, 91]","[720, 336, 228, 165]","[965, 91, 285, 108]","[859, 197, 291, 102]","[942, 114, 298, 95]","[985, 71, 316, 77]","[1000, 56, 316, 77]","[991, 65, 300, 93]","[912, 144, 281, 112]","[984, 72, 312, 80]"
13,poly,1.0,10.0,3.0,"[1014, 42, 303, 90]","[1000, 56, 329, 64]","[1002, 54, 331, 62]","[1003, 53, 316, 77]","[999, 57, 309, 84]","[992, 64, 313, 80]","[1017, 39, 324, 69]","[1010, 46, 303, 90]","[1006, 50, 322, 71]","[990, 66, 314, 78]"
14,linear,10.0,,,"[1006, 50, 293, 100]","[995, 61, 322, 71]","[1002, 54, 319, 74]","[992, 64, 309, 84]","[998, 58, 308, 85]","[989, 67, 311, 82]","[999, 57, 316, 77]","[1000, 56, 296, 97]","[1003, 53, 313, 80]","[988, 68, 314, 78]"
15,rbf,10.0,1.0,,"[1014, 42, 306, 87]","[1004, 52, 334, 59]","[1002, 54, 331, 62]","[1005, 51, 321, 72]","[1001, 55, 309, 84]","[996, 60, 313, 80]","[1017, 39, 324, 69]","[1010, 46, 303, 90]","[1007, 49, 322, 71]","[992, 64, 314, 78]"
16,poly,10.0,1.0,2.0,"[1011, 45, 305, 88]","[1006, 50, 339, 54]","[1005, 51, 334, 59]","[1004, 52, 320, 73]","[1007, 49, 316, 77]","[1000, 56, 322, 71]","[1000, 56, 319, 74]","[1016, 40, 319, 74]","[1014, 42, 326, 67]","[997, 59, 318, 74]"
17,poly,10.0,1.0,3.0,"[1014, 42, 306, 87]","[1002, 54, 332, 61]","[1002, 54, 331, 62]","[1002, 54, 316, 77]","[999, 57, 309, 84]","[995, 61, 313, 80]","[1016, 40, 324, 69]","[1010, 46, 303, 90]","[1006, 50, 322, 71]","[990, 66, 314, 78]"
18,rbf,10.0,10.0,,"[1015, 41, 306, 87]","[1005, 51, 337, 56]","[1002, 54, 331, 62]","[1008, 48, 322, 71]","[1002, 54, 309, 84]","[997, 59, 313, 80]","[1019, 37, 325, 68]","[1012, 44, 303, 90]","[1007, 49, 322, 71]","[992, 64, 314, 78]"
19,poly,10.0,10.0,2.0,"[951, 105, 333, 60]","[695, 361, 223, 170]","[981, 75, 302, 91]","[884, 172, 274, 119]","[930, 126, 284, 109]","[952, 104, 296, 97]","[970, 86, 285, 108]","[982, 74, 271, 122]","[885, 171, 262, 131]","[942, 114, 279, 113]"
20,poly,10.0,10.0,3.0,"[1014, 42, 306, 87]","[1001, 55, 330, 63]","[1002, 54, 331, 62]","[1003, 53, 321, 72]","[999, 57, 309, 84]","[995, 61, 313, 80]","[1016, 40, 324, 69]","[1010, 46, 303, 90]","[1006, 50, 322, 71]","[990, 66, 314, 78]"
21,linear,100.0,,,"[1006, 50, 293, 100]","[995, 61, 322, 71]","[1002, 54, 319, 74]","[992, 64, 309, 84]","[998, 58, 308, 85]","[989, 67, 311, 82]","[999, 57, 316, 77]","[1000, 56, 296, 97]","[1003, 53, 313, 80]","[988, 68, 314, 78]"
22,rbf,100.0,1.0,,"[1014, 42, 306, 87]","[1004, 52, 334, 59]","[1002, 54, 331, 62]","[1005, 51, 321, 72]","[1001, 55, 309, 84]","[996, 60, 313, 80]","[1017, 39, 324, 69]","[1010, 46, 303, 90]","[1007, 49, 322, 71]","[992, 64, 314, 78]"
23,poly,100.0,1.0,2.0,"[1011, 45, 295, 98]","[974, 82, 322, 71]","[969, 87, 285, 108]","[963, 93, 294, 99]","[972, 84, 292, 101]","[918, 138, 273, 120]","[1015, 41, 322, 71]","[970, 86, 264, 129]","[902, 154, 326, 67]","[898, 158, 263, 129]"
24,poly,100.0,1.0,3.0,"[1014, 42, 306, 87]","[1000, 56, 329, 64]","[1002, 54, 331, 62]","[1001, 55, 316, 77]","[999, 57, 309, 84]","[995, 61, 313, 80]","[1017, 39, 324, 69]","[1010, 46, 303, 90]","[1006, 50, 322, 71]","[990, 66, 314, 78]"
25,rbf,100.0,10.0,,"[1015, 41, 306, 87]","[1005, 51, 337, 56]","[1002, 54, 331, 62]","[1008, 48, 322, 71]","[1002, 54, 309, 84]","[997, 59, 313, 80]","[1019, 37, 325, 68]","[1012, 44, 303, 90]","[1007, 49, 322, 71]","[992, 64, 314, 78]"
26,poly,100.0,10.0,2.0,"[936, 120, 265, 128]","[996, 60, 326, 67]","[1011, 45, 355, 38]","[993, 63, 347, 46]","[955, 101, 269, 124]","[936, 120, 285, 108]","[943, 113, 298, 95]","[991, 65, 334, 59]","[920, 136, 270, 123]","[957, 99, 285, 107]"
27,poly,100.0,10.0,3.0,"[1014, 42, 306, 87]","[1000, 56, 329, 64]","[1002, 54, 331, 62]","[1003, 53, 316, 77]","[999, 57, 309, 84]","[993, 63, 313, 80]","[1017, 39, 324, 69]","[1010, 46, 303, 90]","[1006, 50, 322, 71]","[990, 66, 314, 78]"
28,linear,1000.0,,,"[958, 98, 273, 120]","[963, 93, 284, 109]","[940, 116, 263, 130]","[656, 400, 163, 230]","[956, 100, 273, 120]","[917, 139, 269, 124]","[1054, 2, 378, 15]","[428, 628, 117, 276]","[868, 188, 233, 160]","[993, 63, 317, 75]"
29,rbf,1000.0,1.0,,"[1014, 42, 306, 87]","[1004, 52, 334, 59]","[1002, 54, 331, 62]","[1005, 51, 321, 72]","[1001, 55, 309, 84]","[996, 60, 313, 80]","[1017, 39, 324, 69]","[1010, 46, 303, 90]","[1007, 49, 322, 71]","[992, 64, 314, 78]"
30,poly,1000.0,1.0,2.0,"[845, 211, 237, 156]","[956, 100, 274, 119]","[976, 80, 291, 102]","[994, 62, 322, 71]","[965, 91, 357, 36]","[936, 120, 285, 108]","[999, 57, 323, 70]","[972, 84, 258, 135]","[948, 108, 273, 120]","[957, 99, 285, 107]"
