,Alpha,Confusion Matrix
0,0.0001,"[133, 178, 77, 392]"
1,0.0005,"[136, 175, 72, 397]"
2,0.0008,"[156, 155, 92, 377]"
3,0.001,"[156, 155, 91, 378]"
4,0.002,"[150, 161, 89, 380]"
5,0.003,"[130, 181, 71, 398]"
6,0.004,"[128, 183, 65, 404]"
7,0.005,"[127, 184, 69, 400]"
8,0.01,"[126, 185, 67, 402]"
