,Alpha,Confusion Matrix
0,0.0001,"[85, 226, 48, 421]"
1,0.0005,"[118, 193, 67, 402]"
2,0.0008,"[115, 196, 67, 402]"
3,0.001,"[117, 194, 65, 404]"
4,0.002,"[102, 209, 52, 417]"
5,0.003,"[111, 200, 57, 412]"
6,0.004,"[114, 197, 65, 404]"
7,0.005,"[123, 188, 81, 388]"
8,0.01,"[71, 240, 35, 434]"
