,Estimators,Learning Rate,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,25,0.1,"[0, 310, 0, 470]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 310, 0, 469]","[0, 310, 0, 469]","[0, 310, 0, 469]","[0, 310, 0, 469]","[0, 310, 0, 469]"
1,25,0.2,"[154, 156, 94, 376]","[117, 194, 81, 388]","[140, 171, 112, 357]","[155, 156, 108, 361]","[142, 169, 107, 362]","[145, 165, 112, 357]","[147, 163, 101, 368]","[146, 164, 89, 380]","[108, 202, 79, 390]","[146, 164, 114, 355]"
2,25,0.3,"[154, 156, 94, 376]","[154, 157, 95, 374]","[140, 171, 112, 357]","[155, 156, 108, 361]","[142, 169, 107, 362]","[145, 165, 112, 357]","[147, 163, 101, 368]","[146, 164, 89, 380]","[139, 171, 97, 372]","[146, 164, 114, 355]"
3,25,0.4,"[154, 156, 94, 376]","[154, 157, 95, 374]","[140, 171, 112, 357]","[155, 156, 108, 361]","[142, 169, 107, 362]","[145, 165, 112, 357]","[147, 163, 101, 368]","[146, 164, 89, 380]","[139, 171, 97, 372]","[146, 164, 114, 355]"
4,25,0.5,"[154, 156, 94, 376]","[154, 157, 95, 374]","[140, 171, 112, 357]","[155, 156, 108, 361]","[142, 169, 107, 362]","[145, 165, 112, 357]","[147, 163, 101, 368]","[146, 164, 89, 380]","[139, 171, 97, 372]","[146, 164, 114, 355]"
5,50,0.1,"[154, 156, 94, 376]","[117, 194, 81, 388]","[140, 171, 112, 357]","[155, 156, 108, 361]","[142, 169, 107, 362]","[145, 165, 112, 357]","[147, 163, 101, 368]","[146, 164, 89, 380]","[108, 202, 79, 390]","[146, 164, 114, 355]"
6,50,0.2,"[154, 156, 94, 376]","[154, 157, 95, 374]","[140, 171, 112, 357]","[155, 156, 108, 361]","[142, 169, 107, 362]","[145, 165, 112, 357]","[147, 163, 101, 368]","[146, 164, 89, 380]","[139, 171, 97, 372]","[146, 164, 114, 355]"
7,50,0.3,"[154, 156, 94, 376]","[154, 157, 95, 374]","[140, 171, 112, 357]","[155, 156, 108, 361]","[142, 169, 107, 362]","[145, 165, 112, 357]","[147, 163, 101, 368]","[146, 164, 89, 380]","[139, 171, 97, 372]","[146, 164, 114, 355]"
8,50,0.4,"[154, 156, 94, 376]","[154, 157, 95, 374]","[140, 171, 112, 357]","[155, 156, 108, 361]","[142, 169, 107, 362]","[145, 165, 112, 357]","[147, 163, 101, 368]","[146, 164, 89, 380]","[139, 171, 97, 372]","[146, 164, 114, 355]"
9,50,0.5,"[154, 156, 94, 376]","[154, 157, 95, 374]","[140, 171, 112, 357]","[155, 156, 108, 361]","[142, 169, 107, 362]","[145, 165, 112, 357]","[147, 163, 101, 368]","[146, 164, 89, 380]","[139, 171, 97, 372]","[146, 164, 114, 355]"
10,75,0.1,"[154, 156, 94, 376]","[154, 157, 95, 374]","[140, 171, 112, 357]","[155, 156, 108, 361]","[142, 169, 107, 362]","[145, 165, 112, 357]","[147, 163, 101, 368]","[146, 164, 89, 380]","[139, 171, 97, 372]","[146, 164, 114, 355]"
11,75,0.2,"[154, 156, 94, 376]","[154, 157, 95, 374]","[140, 171, 112, 357]","[155, 156, 108, 361]","[142, 169, 107, 362]","[145, 165, 112, 357]","[147, 163, 101, 368]","[146, 164, 89, 380]","[139, 171, 97, 372]","[146, 164, 114, 355]"
12,75,0.3,"[154, 156, 94, 376]","[154, 157, 95, 374]","[140, 171, 112, 357]","[155, 156, 108, 361]","[142, 169, 107, 362]","[145, 165, 112, 357]","[147, 163, 101, 368]","[146, 164, 89, 380]","[139, 171, 97, 372]","[146, 164, 114, 355]"
13,75,0.4,"[154, 156, 94, 376]","[154, 157, 95, 374]","[140, 171, 112, 357]","[155, 156, 108, 361]","[142, 169, 107, 362]","[145, 165, 112, 357]","[147, 163, 101, 368]","[146, 164, 89, 380]","[139, 171, 97, 372]","[146, 164, 114, 355]"
14,75,0.5,"[154, 156, 94, 376]","[154, 157, 95, 374]","[140, 171, 112, 357]","[155, 156, 108, 361]","[142, 169, 107, 362]","[145, 165, 112, 357]","[147, 163, 101, 368]","[146, 164, 89, 380]","[139, 171, 97, 372]","[146, 164, 114, 355]"
