,Neighbors,Confusion Matrix
0,5,"[159, 151, 137, 332]"
1,10,"[191, 119, 152, 317]"
2,12,"[175, 135, 136, 333]"
3,14,"[179, 131, 127, 342]"
4,16,"[177, 133, 129, 340]"
5,20,"[172, 138, 118, 351]"
