,Neighbors,Estimators,Confusion Matrix
0,12,50,"[959, 97, 264, 129]"
1,12,100,"[958, 98, 264, 129]"
2,12,150,"[960, 96, 263, 130]"
3,14,50,"[958, 98, 266, 127]"
4,14,100,"[961, 95, 265, 128]"
5,14,150,"[961, 95, 264, 129]"
6,16,50,"[963, 93, 269, 124]"
7,16,100,"[962, 94, 270, 123]"
8,16,150,"[962, 94, 270, 123]"
