,Neighbors,Confusion Matrix
0,5,"[148, 162, 118, 352]"
1,10,"[177, 133, 136, 334]"
2,12,"[170, 140, 122, 348]"
3,14,"[165, 145, 124, 346]"
4,16,"[164, 146, 135, 335]"
5,20,"[162, 148, 125, 345]"
