,Neighbors,Confusion Matrix
0,5,"[171, 139, 130, 339]"
1,10,"[203, 107, 142, 327]"
2,12,"[201, 109, 140, 329]"
3,14,"[204, 106, 142, 327]"
4,16,"[196, 114, 124, 345]"
5,20,"[191, 119, 114, 355]"
