,Alpha,Confusion Matrix
0,0.0001,"[112, 198, 48, 421]"
1,0.0005,"[126, 184, 65, 404]"
2,0.0008,"[100, 210, 45, 424]"
3,0.001,"[142, 168, 69, 400]"
4,0.002,"[148, 162, 84, 385]"
5,0.003,"[148, 162, 74, 395]"
6,0.004,"[153, 157, 83, 386]"
7,0.005,"[149, 161, 79, 390]"
8,0.01,"[108, 202, 51, 418]"
