,Neighbors,Confusion Matrix
0,5,"[165, 146, 113, 356]"
1,10,"[189, 122, 117, 352]"
2,12,"[191, 120, 112, 357]"
3,14,"[175, 136, 109, 360]"
4,16,"[174, 137, 102, 367]"
5,20,"[174, 137, 101, 368]"
