,Alpha,Confusion Matrix
0,0.0001,"[102, 208, 47, 423]"
1,0.0005,"[126, 184, 66, 404]"
2,0.0008,"[146, 164, 84, 386]"
3,0.001,"[144, 166, 85, 385]"
4,0.002,"[126, 184, 72, 398]"
5,0.003,"[112, 198, 67, 403]"
6,0.004,"[126, 184, 78, 392]"
7,0.005,"[92, 218, 49, 421]"
8,0.01,"[59, 251, 32, 438]"
