,Neighbors,Confusion Matrix
0,5,"[158, 152, 126, 343]"
1,10,"[188, 122, 153, 316]"
2,12,"[172, 138, 136, 333]"
3,14,"[176, 134, 136, 333]"
4,16,"[171, 139, 131, 338]"
5,20,"[180, 130, 125, 344]"
