,Kernel,C,Gamma,Degree,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,linear,0.1,,,"[1008, 48, 322, 71]","[997, 59, 301, 92]","[995, 61, 321, 72]","[997, 59, 294, 99]","[1053, 3, 392, 1]","[1011, 45, 316, 77]","[991, 65, 311, 82]","[992, 64, 319, 74]","[994, 62, 307, 86]","[998, 58, 320, 72]"
1,rbf,0.1,1.0,,"[1025, 31, 337, 56]","[1020, 36, 323, 70]","[1013, 43, 349, 44]","[1018, 38, 320, 73]","[1015, 41, 351, 42]","[1018, 38, 330, 63]","[1011, 45, 327, 66]","[1013, 43, 340, 53]","[1016, 40, 335, 58]","[973, 83, 299, 93]"
2,poly,0.1,1.0,2.0,"[1024, 32, 338, 55]","[1014, 42, 319, 74]","[1010, 46, 347, 46]","[1013, 43, 317, 76]","[1056, 0, 393, 0]","[1016, 40, 329, 64]","[1008, 48, 326, 67]","[1016, 40, 341, 52]","[1008, 48, 326, 67]","[973, 83, 299, 93]"
3,poly,0.1,1.0,3.0,"[1020, 36, 330, 63]","[1012, 44, 314, 79]","[1005, 51, 333, 60]","[1009, 47, 311, 82]","[1012, 44, 350, 43]","[1011, 45, 325, 68]","[1004, 52, 322, 71]","[1007, 49, 336, 57]","[1006, 50, 319, 74]","[973, 83, 299, 93]"
4,rbf,0.1,10.0,,"[1023, 33, 337, 56]","[1018, 38, 321, 72]","[1014, 42, 349, 44]","[1017, 39, 323, 70]","[1015, 41, 351, 42]","[1030, 26, 342, 51]","[1007, 49, 330, 63]","[1016, 40, 345, 48]","[1015, 41, 334, 59]","[973, 83, 302, 90]"
5,poly,0.1,10.0,2.0,"[1010, 46, 326, 67]","[1009, 47, 313, 80]","[1004, 52, 334, 59]","[1010, 46, 311, 82]","[623, 433, 161, 232]","[1006, 50, 322, 71]","[1003, 53, 320, 73]","[970, 86, 317, 76]","[1004, 52, 315, 78]","[973, 83, 302, 90]"
6,poly,0.1,10.0,3.0,"[1016, 40, 326, 67]","[1007, 49, 309, 84]","[1002, 54, 331, 62]","[1003, 53, 300, 93]","[643, 413, 276, 117]","[1005, 51, 322, 71]","[998, 58, 317, 76]","[1004, 52, 331, 62]","[1005, 51, 315, 78]","[973, 83, 302, 90]"
7,linear,1.0,,,"[1008, 48, 322, 71]","[997, 59, 301, 92]","[995, 61, 321, 72]","[997, 59, 294, 99]","[1053, 3, 392, 1]","[1011, 45, 316, 77]","[990, 66, 310, 83]","[992, 64, 319, 74]","[994, 62, 307, 86]","[998, 58, 320, 72]"
8,rbf,1.0,1.0,,"[1018, 38, 326, 67]","[1007, 49, 310, 83]","[1003, 53, 330, 63]","[1008, 48, 306, 87]","[1015, 41, 351, 42]","[1007, 49, 321, 72]","[998, 58, 318, 75]","[1005, 51, 333, 60]","[1006, 50, 315, 78]","[973, 83, 302, 90]"
9,poly,1.0,1.0,2.0,"[1010, 46, 326, 67]","[1012, 44, 317, 76]","[1005, 51, 334, 59]","[1012, 44, 317, 76]","[1056, 0, 393, 0]","[1015, 41, 329, 64]","[1003, 53, 323, 70]","[974, 82, 322, 71]","[1005, 51, 322, 71]","[973, 83, 302, 90]"
