,Neighbors,Confusion Matrix
0,5,"[166, 144, 143, 326]"
1,10,"[189, 121, 158, 311]"
2,12,"[181, 129, 137, 332]"
3,14,"[181, 129, 147, 322]"
4,16,"[179, 131, 141, 328]"
5,20,"[177, 133, 134, 335]"
