,Alpha,Confusion Matrix
0,0.0001,"[158, 152, 103, 367]"
1,0.0005,"[153, 157, 92, 378]"
2,0.0008,"[146, 164, 92, 378]"
3,0.001,"[142, 168, 89, 381]"
4,0.002,"[137, 173, 88, 382]"
5,0.003,"[156, 154, 89, 381]"
6,0.004,"[130, 180, 70, 400]"
7,0.005,"[142, 168, 79, 391]"
8,0.01,"[126, 184, 70, 400]"
