,Neighbors,Confusion Matrix
0,5,"[175, 135, 128, 341]"
1,10,"[189, 121, 151, 318]"
2,12,"[181, 129, 146, 323]"
3,14,"[179, 131, 139, 330]"
4,16,"[175, 135, 132, 337]"
5,20,"[174, 136, 129, 340]"
