,Neighbors,Confusion Matrix
0,5,"[162, 149, 125, 344]"
1,10,"[174, 137, 138, 331]"
2,12,"[174, 137, 145, 324]"
3,14,"[176, 135, 131, 338]"
4,16,"[178, 133, 129, 340]"
5,20,"[173, 138, 123, 346]"
