,Neighbors,Confusion Matrix
0,5,"[168, 142, 113, 356]"
1,10,"[192, 118, 127, 342]"
2,12,"[188, 122, 123, 346]"
3,14,"[195, 115, 115, 354]"
4,16,"[187, 123, 107, 362]"
5,20,"[186, 124, 102, 367]"
