,Alpha,Confusion Matrix
0,0.0001,"[178, 132, 111, 358]"
1,0.0005,"[167, 143, 97, 372]"
2,0.0008,"[173, 137, 100, 369]"
3,0.001,"[179, 131, 102, 367]"
4,0.002,"[153, 157, 79, 390]"
5,0.003,"[152, 158, 74, 395]"
6,0.004,"[148, 162, 69, 400]"
7,0.005,"[137, 173, 67, 402]"
8,0.01,"[142, 168, 75, 394]"
