,Neighbors,Confusion Matrix
0,5,"[149, 161, 127, 342]"
1,10,"[172, 138, 151, 318]"
2,12,"[173, 137, 143, 326]"
3,14,"[160, 150, 115, 354]"
4,16,"[174, 136, 117, 352]"
5,20,"[170, 140, 121, 348]"
