,Alpha,Confusion Matrix
0,0.0001,"[148, 162, 104, 365]"
1,0.0005,"[134, 176, 85, 384]"
2,0.0008,"[137, 173, 88, 381]"
3,0.001,"[128, 182, 83, 386]"
4,0.002,"[134, 176, 87, 382]"
5,0.003,"[135, 175, 90, 379]"
6,0.004,"[141, 169, 106, 363]"
7,0.005,"[141, 169, 103, 366]"
8,0.01,"[119, 191, 82, 387]"
