,Alpha,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[65, 245, 25, 445]","[94, 217, 40, 429]","[105, 206, 46, 423]","[119, 192, 76, 393]","[123, 188, 68, 401]","[108, 202, 45, 424]","[112, 198, 48, 421]","[95, 215, 39, 430]","[75, 235, 34, 435]","[106, 204, 44, 425]"
1,0.0005,"[94, 216, 41, 429]","[80, 231, 42, 427]","[148, 163, 79, 390]","[116, 195, 74, 395]","[147, 164, 81, 388]","[95, 215, 52, 417]","[126, 184, 65, 404]","[104, 206, 35, 434]","[98, 212, 46, 423]","[104, 206, 55, 414]"
2,0.0008,"[104, 206, 45, 425]","[113, 198, 63, 406]","[143, 168, 67, 402]","[120, 191, 85, 384]","[147, 164, 89, 380]","[118, 192, 69, 400]","[100, 210, 45, 424]","[117, 193, 41, 428]","[110, 200, 50, 419]","[134, 176, 80, 389]"
3,0.001,"[109, 201, 46, 424]","[98, 213, 54, 415]","[143, 168, 68, 401]","[115, 196, 82, 387]","[142, 169, 76, 393]","[116, 194, 62, 407]","[142, 168, 69, 400]","[121, 189, 52, 417]","[120, 190, 63, 406]","[131, 179, 78, 391]"
4,0.002,"[103, 207, 47, 423]","[88, 223, 62, 407]","[129, 182, 69, 400]","[119, 192, 89, 380]","[123, 188, 75, 394]","[113, 197, 68, 401]","[148, 162, 84, 385]","[137, 173, 62, 407]","[122, 188, 65, 404]","[101, 209, 54, 415]"
5,0.003,"[103, 207, 43, 427]","[114, 197, 61, 408]","[127, 184, 52, 417]","[115, 196, 80, 389]","[142, 169, 80, 389]","[95, 215, 43, 426]","[148, 162, 74, 395]","[138, 172, 62, 407]","[123, 187, 69, 400]","[98, 212, 54, 415]"
6,0.004,"[98, 212, 38, 432]","[118, 193, 63, 406]","[114, 197, 68, 401]","[97, 214, 75, 394]","[139, 172, 82, 387]","[114, 196, 57, 412]","[153, 157, 83, 386]","[144, 166, 61, 408]","[110, 200, 58, 411]","[105, 205, 58, 411]"
7,0.005,"[111, 199, 55, 415]","[109, 202, 63, 406]","[112, 199, 56, 413]","[139, 172, 98, 371]","[143, 168, 89, 380]","[122, 188, 71, 398]","[149, 161, 79, 390]","[126, 184, 42, 427]","[72, 238, 43, 426]","[83, 227, 41, 428]"
8,0.01,"[74, 236, 33, 437]","[83, 228, 53, 416]","[93, 218, 39, 430]","[64, 247, 27, 442]","[97, 214, 58, 411]","[91, 219, 35, 434]","[108, 202, 51, 418]","[89, 221, 47, 422]","[71, 239, 35, 434]","[96, 214, 50, 419]"
