,Neighbors,Confusion Matrix
0,5,"[161, 150, 109, 360]"
1,10,"[187, 124, 145, 324]"
2,12,"[184, 127, 132, 337]"
3,14,"[182, 129, 133, 336]"
4,16,"[180, 131, 134, 335]"
5,20,"[172, 139, 120, 349]"
