,Alpha,Confusion Matrix
0,0.0001,"[129, 182, 95, 374]"
1,0.0005,"[123, 188, 87, 382]"
2,0.0008,"[161, 150, 134, 335]"
3,0.001,"[159, 152, 128, 341]"
4,0.002,"[153, 158, 122, 347]"
5,0.003,"[150, 161, 116, 353]"
6,0.004,"[149, 162, 117, 352]"
7,0.005,"[139, 172, 111, 358]"
8,0.01,"[127, 184, 102, 367]"
