,Alpha,Confusion Matrix
0,0.0001,"[102, 208, 51, 419]"
1,0.0005,"[119, 191, 71, 399]"
2,0.0008,"[120, 190, 71, 399]"
3,0.001,"[109, 201, 63, 407]"
4,0.002,"[118, 192, 65, 405]"
5,0.003,"[116, 194, 70, 400]"
6,0.004,"[120, 190, 64, 406]"
7,0.005,"[112, 198, 59, 411]"
8,0.01,"[85, 225, 41, 429]"
