,Neighbors,Confusion Matrix
0,5,"[151, 160, 119, 350]"
1,10,"[179, 132, 142, 327]"
2,12,"[179, 132, 132, 337]"
3,14,"[170, 141, 127, 342]"
4,16,"[172, 139, 128, 341]"
5,20,"[170, 141, 117, 352]"
