,Neighbors,Confusion Matrix
0,5,"[167, 144, 134, 335]"
1,10,"[171, 140, 152, 317]"
2,12,"[184, 127, 147, 322]"
3,14,"[182, 129, 142, 327]"
4,16,"[182, 129, 131, 338]"
5,20,"[175, 136, 126, 343]"
