,Neighbors,Confusion Matrix
0,5,"[165, 146, 129, 340]"
1,10,"[176, 135, 140, 329]"
2,12,"[177, 134, 140, 329]"
3,14,"[179, 132, 137, 332]"
4,16,"[172, 139, 129, 340]"
5,20,"[178, 133, 126, 343]"
