,Neighbors,Confusion Matrix
0,5,"[148, 162, 117, 352]"
1,10,"[167, 143, 136, 333]"
2,12,"[171, 139, 131, 338]"
3,14,"[161, 149, 126, 343]"
4,16,"[176, 134, 127, 342]"
5,20,"[176, 134, 124, 345]"
