,Neighbors,Confusion Matrix
0,5,"[162, 148, 110, 359]"
1,10,"[171, 139, 132, 337]"
2,12,"[168, 142, 120, 349]"
3,14,"[178, 132, 133, 336]"
4,16,"[181, 129, 130, 339]"
5,20,"[175, 135, 114, 355]"
