,Alpha,Confusion Matrix
0,0.0001,"[204, 107, 151, 318]"
1,0.0005,"[176, 135, 116, 353]"
2,0.0008,"[169, 142, 107, 362]"
3,0.001,"[164, 147, 102, 367]"
4,0.002,"[157, 154, 97, 372]"
5,0.003,"[153, 158, 93, 376]"
6,0.004,"[153, 158, 92, 377]"
7,0.005,"[147, 164, 92, 377]"
8,0.01,"[131, 180, 82, 387]"
