,Alpha,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[78, 232, 47, 423]","[120, 191, 68, 401]","[110, 201, 50, 419]","[76, 235, 50, 419]","[85, 226, 48, 421]","[97, 213, 38, 431]","[86, 224, 34, 435]","[103, 207, 48, 421]","[90, 220, 36, 433]","[84, 226, 35, 434]"
1,0.0005,"[99, 211, 51, 419]","[123, 188, 65, 404]","[91, 220, 36, 433]","[116, 195, 78, 391]","[118, 193, 67, 402]","[131, 179, 42, 427]","[120, 190, 63, 406]","[96, 214, 42, 427]","[101, 209, 52, 417]","[119, 191, 54, 415]"
2,0.0008,"[81, 229, 38, 432]","[140, 171, 73, 396]","[105, 206, 37, 432]","[105, 206, 70, 399]","[115, 196, 67, 402]","[91, 219, 40, 429]","[123, 187, 55, 414]","[141, 169, 79, 390]","[118, 192, 71, 398]","[101, 209, 40, 429]"
3,0.001,"[97, 213, 47, 423]","[146, 165, 74, 395]","[126, 185, 54, 415]","[106, 205, 74, 395]","[117, 194, 65, 404]","[135, 175, 53, 416]","[121, 189, 58, 411]","[107, 203, 50, 419]","[126, 184, 68, 401]","[112, 198, 44, 425]"
4,0.002,"[118, 192, 70, 400]","[135, 176, 63, 406]","[135, 176, 70, 399]","[128, 183, 81, 388]","[102, 209, 52, 417]","[145, 165, 57, 412]","[134, 176, 73, 396]","[117, 193, 65, 404]","[129, 181, 69, 400]","[160, 150, 77, 392]"
5,0.003,"[133, 177, 86, 384]","[127, 184, 63, 406]","[127, 184, 55, 414]","[124, 187, 92, 377]","[111, 200, 57, 412]","[130, 180, 59, 410]","[147, 163, 86, 383]","[115, 195, 62, 407]","[113, 197, 58, 411]","[76, 234, 41, 428]"
6,0.004,"[115, 195, 72, 398]","[116, 195, 62, 407]","[107, 204, 47, 422]","[106, 205, 64, 405]","[114, 197, 65, 404]","[120, 190, 51, 418]","[95, 215, 50, 419]","[133, 177, 81, 388]","[112, 198, 64, 405]","[135, 175, 64, 405]"
7,0.005,"[107, 203, 54, 416]","[109, 202, 57, 412]","[132, 179, 68, 401]","[124, 187, 91, 378]","[123, 188, 81, 388]","[118, 192, 45, 424]","[108, 202, 55, 414]","[114, 196, 49, 420]","[112, 198, 63, 406]","[146, 164, 74, 395]"
8,0.01,"[94, 216, 56, 414]","[86, 225, 35, 434]","[87, 224, 34, 435]","[80, 231, 48, 421]","[71, 240, 35, 434]","[102, 208, 33, 436]","[105, 205, 68, 401]","[68, 242, 35, 434]","[78, 232, 46, 423]","[106, 204, 50, 419]"
