,Alpha,Confusion Matrix
0,0.0001,"[101, 209, 44, 425]"
1,0.0005,"[119, 191, 58, 411]"
2,0.0008,"[158, 152, 87, 382]"
3,0.001,"[128, 182, 69, 400]"
4,0.002,"[101, 209, 46, 423]"
5,0.003,"[109, 201, 50, 419]"
6,0.004,"[111, 199, 56, 413]"
7,0.005,"[99, 211, 51, 418]"
8,0.01,"[93, 217, 47, 422]"
