,Neighbors,Confusion Matrix
0,5,"[153, 157, 112, 357]"
1,10,"[176, 134, 131, 338]"
2,12,"[179, 131, 134, 335]"
3,14,"[172, 138, 118, 351]"
4,16,"[177, 133, 114, 355]"
5,20,"[184, 126, 130, 339]"
