,Alpha,Confusion Matrix
0,0.0001,"[110, 201, 50, 419]"
1,0.0005,"[91, 220, 36, 433]"
2,0.0008,"[105, 206, 37, 432]"
3,0.001,"[126, 185, 54, 415]"
4,0.002,"[135, 176, 70, 399]"
5,0.003,"[127, 184, 55, 414]"
6,0.004,"[107, 204, 47, 422]"
7,0.005,"[132, 179, 68, 401]"
8,0.01,"[87, 224, 34, 435]"
