,Estimators,Learning Rate,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,25,0.1,"[0, 310, 1, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 310, 0, 469]","[0, 310, 0, 469]","[0, 310, 0, 469]","[0, 310, 0, 469]","[0, 310, 0, 469]"
1,25,0.2,"[153, 157, 106, 364]","[139, 172, 91, 378]","[157, 154, 94, 375]","[148, 163, 117, 352]","[141, 170, 100, 369]","[133, 177, 98, 371]","[147, 163, 110, 359]","[145, 165, 111, 358]","[152, 158, 103, 366]","[156, 154, 97, 372]"
2,25,0.3,"[153, 157, 106, 364]","[139, 172, 91, 378]","[157, 154, 94, 375]","[148, 163, 117, 352]","[141, 170, 100, 369]","[133, 177, 98, 371]","[147, 163, 110, 359]","[145, 165, 111, 358]","[152, 158, 103, 366]","[156, 154, 97, 372]"
3,25,0.4,"[153, 157, 106, 364]","[139, 172, 91, 378]","[157, 154, 94, 375]","[148, 163, 117, 352]","[141, 170, 100, 369]","[133, 177, 98, 371]","[147, 163, 110, 359]","[145, 165, 111, 358]","[152, 158, 103, 366]","[156, 154, 97, 372]"
4,25,0.5,"[153, 157, 106, 364]","[139, 172, 91, 378]","[157, 154, 94, 375]","[148, 163, 117, 352]","[141, 170, 100, 369]","[133, 177, 98, 371]","[147, 163, 110, 359]","[145, 165, 111, 358]","[152, 158, 103, 366]","[156, 154, 97, 372]"
5,50,0.1,"[153, 157, 106, 364]","[139, 172, 91, 378]","[157, 154, 94, 375]","[148, 163, 117, 352]","[141, 170, 100, 369]","[133, 177, 98, 371]","[147, 163, 110, 359]","[145, 165, 111, 358]","[152, 158, 103, 366]","[156, 154, 97, 372]"
6,50,0.2,"[153, 157, 106, 364]","[139, 172, 91, 378]","[157, 154, 94, 375]","[148, 163, 117, 352]","[141, 170, 100, 369]","[133, 177, 98, 371]","[147, 163, 110, 359]","[145, 165, 111, 358]","[152, 158, 103, 366]","[156, 154, 97, 372]"
7,50,0.3,"[153, 157, 106, 364]","[139, 172, 91, 378]","[157, 154, 94, 375]","[148, 163, 117, 352]","[141, 170, 100, 369]","[133, 177, 98, 371]","[147, 163, 110, 359]","[145, 165, 111, 358]","[152, 158, 103, 366]","[156, 154, 97, 372]"
8,50,0.4,"[153, 157, 106, 364]","[139, 172, 91, 378]","[157, 154, 94, 375]","[148, 163, 117, 352]","[141, 170, 100, 369]","[133, 177, 98, 371]","[147, 163, 110, 359]","[145, 165, 111, 358]","[152, 158, 103, 366]","[156, 154, 97, 372]"
9,50,0.5,"[153, 157, 106, 364]","[139, 172, 91, 378]","[157, 154, 94, 375]","[148, 163, 117, 352]","[141, 170, 100, 369]","[133, 177, 98, 371]","[147, 163, 110, 359]","[145, 165, 111, 358]","[152, 158, 103, 366]","[156, 154, 97, 372]"
10,75,0.1,"[153, 157, 106, 364]","[139, 172, 91, 378]","[157, 154, 94, 375]","[148, 163, 117, 352]","[141, 170, 100, 369]","[133, 177, 98, 371]","[147, 163, 110, 359]","[145, 165, 111, 358]","[152, 158, 103, 366]","[156, 154, 97, 372]"
11,75,0.2,"[153, 157, 106, 364]","[139, 172, 91, 378]","[157, 154, 94, 375]","[148, 163, 117, 352]","[141, 170, 100, 369]","[133, 177, 98, 371]","[147, 163, 110, 359]","[145, 165, 111, 358]","[152, 158, 103, 366]","[156, 154, 97, 372]"
12,75,0.3,"[153, 157, 106, 364]","[139, 172, 91, 378]","[157, 154, 94, 375]","[148, 163, 117, 352]","[141, 170, 100, 369]","[133, 177, 98, 371]","[147, 163, 110, 359]","[145, 165, 111, 358]","[152, 158, 103, 366]","[156, 154, 97, 372]"
13,75,0.4,"[153, 157, 106, 364]","[139, 172, 91, 378]","[157, 154, 94, 375]","[148, 163, 117, 352]","[141, 170, 100, 369]","[133, 177, 98, 371]","[147, 163, 110, 359]","[145, 165, 111, 358]","[152, 158, 103, 366]","[156, 154, 97, 372]"
14,75,0.5,"[153, 157, 106, 364]","[139, 172, 91, 378]","[157, 154, 94, 375]","[148, 163, 117, 352]","[141, 170, 100, 369]","[133, 177, 98, 371]","[147, 163, 110, 359]","[145, 165, 111, 358]","[152, 158, 103, 366]","[156, 154, 97, 372]"
