,Alpha,Confusion Matrix
0,0.0001,"[142, 169, 81, 388]"
1,0.0005,"[122, 189, 69, 400]"
2,0.0008,"[134, 177, 67, 402]"
3,0.001,"[118, 193, 55, 414]"
4,0.002,"[130, 181, 71, 398]"
5,0.003,"[124, 187, 71, 398]"
6,0.004,"[102, 209, 61, 408]"
7,0.005,"[110, 201, 65, 404]"
8,0.01,"[121, 190, 63, 406]"
