,Neighbors,Confusion Matrix
0,5,"[150, 160, 125, 345]"
1,10,"[175, 135, 142, 328]"
2,12,"[174, 136, 143, 327]"
3,14,"[162, 148, 137, 333]"
4,16,"[176, 134, 139, 331]"
5,20,"[176, 134, 136, 334]"
