,Estimators,Learning Rate,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,25,0.1,"[0, 310, 0, 470]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 311, 0, 469]","[0, 310, 0, 469]","[0, 310, 0, 469]","[0, 310, 0, 469]","[0, 310, 0, 469]","[0, 310, 0, 469]"
1,25,0.2,"[149, 161, 92, 378]","[137, 174, 92, 377]","[143, 168, 96, 373]","[134, 177, 114, 355]","[162, 149, 117, 352]","[142, 168, 115, 354]","[152, 158, 101, 368]","[150, 160, 105, 364]","[144, 166, 93, 376]","[153, 157, 97, 372]"
2,25,0.3,"[149, 161, 92, 378]","[137, 174, 92, 377]","[143, 168, 96, 373]","[134, 177, 114, 355]","[162, 149, 117, 352]","[142, 168, 115, 354]","[152, 158, 101, 368]","[150, 160, 105, 364]","[144, 166, 93, 376]","[153, 157, 97, 372]"
3,25,0.4,"[149, 161, 92, 378]","[137, 174, 92, 377]","[143, 168, 96, 373]","[134, 177, 114, 355]","[162, 149, 117, 352]","[142, 168, 115, 354]","[152, 158, 101, 368]","[150, 160, 105, 364]","[144, 166, 93, 376]","[153, 157, 97, 372]"
4,25,0.5,"[149, 161, 92, 378]","[137, 174, 92, 377]","[143, 168, 96, 373]","[134, 177, 114, 355]","[162, 149, 117, 352]","[142, 168, 115, 354]","[152, 158, 101, 368]","[150, 160, 105, 364]","[144, 166, 93, 376]","[153, 157, 97, 372]"
5,50,0.1,"[149, 161, 92, 378]","[137, 174, 92, 377]","[143, 168, 96, 373]","[134, 177, 114, 355]","[162, 149, 117, 352]","[142, 168, 115, 354]","[152, 158, 101, 368]","[150, 160, 105, 364]","[144, 166, 93, 376]","[153, 157, 97, 372]"
6,50,0.2,"[149, 161, 92, 378]","[137, 174, 92, 377]","[143, 168, 96, 373]","[134, 177, 114, 355]","[162, 149, 117, 352]","[142, 168, 115, 354]","[152, 158, 101, 368]","[150, 160, 105, 364]","[144, 166, 93, 376]","[153, 157, 97, 372]"
7,50,0.3,"[149, 161, 92, 378]","[137, 174, 92, 377]","[143, 168, 96, 373]","[134, 177, 114, 355]","[162, 149, 117, 352]","[142, 168, 115, 354]","[152, 158, 101, 368]","[150, 160, 105, 364]","[144, 166, 93, 376]","[153, 157, 97, 372]"
8,50,0.4,"[149, 161, 92, 378]","[137, 174, 92, 377]","[143, 168, 96, 373]","[134, 177, 114, 355]","[162, 149, 117, 352]","[142, 168, 115, 354]","[152, 158, 101, 368]","[150, 160, 105, 364]","[144, 166, 93, 376]","[153, 157, 97, 372]"
9,50,0.5,"[149, 161, 92, 378]","[137, 174, 92, 377]","[143, 168, 96, 373]","[134, 177, 114, 355]","[162, 149, 117, 352]","[142, 168, 115, 354]","[152, 158, 101, 368]","[150, 160, 105, 364]","[144, 166, 93, 376]","[153, 157, 97, 372]"
10,75,0.1,"[149, 161, 92, 378]","[137, 174, 92, 377]","[143, 168, 96, 373]","[134, 177, 114, 355]","[162, 149, 117, 352]","[142, 168, 115, 354]","[152, 158, 101, 368]","[150, 160, 105, 364]","[144, 166, 93, 376]","[153, 157, 97, 372]"
11,75,0.2,"[149, 161, 92, 378]","[137, 174, 92, 377]","[143, 168, 96, 373]","[134, 177, 114, 355]","[162, 149, 117, 352]","[142, 168, 115, 354]","[152, 158, 101, 368]","[150, 160, 105, 364]","[144, 166, 93, 376]","[153, 157, 97, 372]"
12,75,0.3,"[149, 161, 92, 378]","[137, 174, 92, 377]","[143, 168, 96, 373]","[134, 177, 114, 355]","[162, 149, 117, 352]","[142, 168, 115, 354]","[152, 158, 101, 368]","[150, 160, 105, 364]","[144, 166, 93, 376]","[153, 157, 97, 372]"
13,75,0.4,"[149, 161, 92, 378]","[137, 174, 92, 377]","[143, 168, 96, 373]","[134, 177, 114, 355]","[162, 149, 117, 352]","[142, 168, 115, 354]","[152, 158, 101, 368]","[150, 160, 105, 364]","[144, 166, 93, 376]","[153, 157, 97, 372]"
14,75,0.5,"[149, 161, 92, 378]","[137, 174, 92, 377]","[143, 168, 96, 373]","[134, 177, 114, 355]","[162, 149, 117, 352]","[142, 168, 115, 354]","[152, 158, 101, 368]","[150, 160, 105, 364]","[144, 166, 93, 376]","[153, 157, 97, 372]"
