,Neighbors,Estimators,Confusion Matrix
0,12,50,"[992, 64, 314, 79]"
1,12,100,"[995, 61, 313, 80]"
2,12,150,"[997, 59, 315, 78]"
3,14,50,"[989, 67, 304, 89]"
4,14,100,"[995, 61, 313, 80]"
5,14,150,"[996, 60, 314, 79]"
6,16,50,"[994, 62, 309, 84]"
7,16,100,"[997, 59, 315, 78]"
8,16,150,"[997, 59, 315, 78]"
