,Neighbors,Confusion Matrix
0,5,"[173, 137, 143, 326]"
1,10,"[183, 127, 151, 318]"
2,12,"[180, 130, 139, 330]"
3,14,"[191, 119, 150, 319]"
4,16,"[179, 131, 129, 340]"
5,20,"[187, 123, 145, 324]"
