,Neighbors,Confusion Matrix
0,5,"[166, 144, 144, 325]"
1,10,"[181, 129, 158, 311]"
2,12,"[187, 123, 148, 321]"
3,14,"[180, 130, 138, 331]"
4,16,"[187, 123, 144, 325]"
5,20,"[190, 120, 139, 330]"
