,Alpha,Confusion Matrix
0,0.0001,"[146, 164, 86, 383]"
1,0.0005,"[144, 166, 82, 387]"
2,0.0008,"[141, 169, 76, 393]"
3,0.001,"[137, 173, 77, 392]"
4,0.002,"[136, 174, 73, 396]"
5,0.003,"[124, 186, 69, 400]"
6,0.004,"[127, 183, 67, 402]"
7,0.005,"[124, 186, 67, 402]"
8,0.01,"[111, 199, 68, 401]"
