,Alpha,Confusion Matrix
0,0.0001,"[120, 191, 68, 401]"
1,0.0005,"[123, 188, 65, 404]"
2,0.0008,"[140, 171, 73, 396]"
3,0.001,"[146, 165, 74, 395]"
4,0.002,"[135, 176, 63, 406]"
5,0.003,"[127, 184, 63, 406]"
6,0.004,"[116, 195, 62, 407]"
7,0.005,"[109, 202, 57, 412]"
8,0.01,"[86, 225, 35, 434]"
