,Neighbors,Confusion Matrix
0,5,"[174, 137, 135, 334]"
1,10,"[190, 121, 165, 304]"
2,12,"[188, 123, 155, 314]"
3,14,"[181, 130, 155, 314]"
4,16,"[191, 120, 152, 317]"
5,20,"[187, 124, 140, 329]"
