,Alpha,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix,Confusion Matrix
0,0.0001,"[102, 208, 47, 423]","[85, 226, 43, 426]","[115, 196, 57, 412]","[90, 221, 52, 417]","[84, 227, 53, 416]","[65, 245, 29, 440]","[146, 164, 86, 383]","[96, 214, 34, 435]","[118, 192, 75, 394]","[84, 226, 43, 426]"
1,0.0005,"[126, 184, 66, 404]","[116, 195, 49, 420]","[116, 195, 66, 403]","[97, 214, 58, 411]","[87, 224, 42, 427]","[109, 201, 58, 411]","[144, 166, 82, 387]","[125, 185, 64, 405]","[134, 176, 77, 392]","[112, 198, 62, 407]"
2,0.0008,"[146, 164, 84, 386]","[134, 177, 55, 414]","[128, 183, 71, 398]","[125, 186, 79, 390]","[90, 221, 45, 424]","[91, 219, 44, 425]","[141, 169, 76, 393]","[101, 209, 50, 419]","[154, 156, 84, 385]","[114, 196, 54, 415]"
3,0.001,"[144, 166, 85, 385]","[144, 167, 65, 404]","[88, 223, 45, 424]","[131, 180, 81, 388]","[102, 209, 48, 421]","[92, 218, 44, 425]","[137, 173, 77, 392]","[126, 184, 59, 410]","[151, 159, 81, 388]","[118, 192, 66, 403]"
4,0.002,"[126, 184, 72, 398]","[138, 173, 69, 400]","[115, 196, 65, 404]","[135, 176, 86, 383]","[115, 196, 66, 403]","[105, 205, 47, 422]","[136, 174, 73, 396]","[86, 224, 41, 428]","[152, 158, 78, 391]","[122, 188, 68, 401]"
5,0.003,"[112, 198, 67, 403]","[127, 184, 59, 410]","[106, 205, 55, 414]","[125, 186, 83, 386]","[101, 210, 62, 407]","[113, 197, 49, 420]","[124, 186, 69, 400]","[114, 196, 54, 415]","[139, 171, 76, 393]","[129, 181, 71, 398]"
6,0.004,"[126, 184, 78, 392]","[100, 211, 47, 422]","[141, 170, 69, 400]","[115, 196, 69, 400]","[97, 214, 63, 406]","[107, 203, 62, 407]","[127, 183, 67, 402]","[110, 200, 49, 420]","[144, 166, 64, 405]","[148, 162, 75, 394]"
7,0.005,"[92, 218, 49, 421]","[115, 196, 43, 426]","[114, 197, 62, 407]","[112, 199, 64, 405]","[97, 214, 57, 412]","[127, 183, 76, 393]","[124, 186, 67, 402]","[123, 187, 61, 408]","[129, 181, 70, 399]","[121, 189, 69, 400]"
8,0.01,"[59, 251, 32, 438]","[68, 243, 26, 443]","[89, 222, 45, 424]","[100, 211, 48, 421]","[84, 227, 45, 424]","[82, 228, 50, 419]","[111, 199, 68, 401]","[77, 233, 39, 430]","[91, 219, 35, 434]","[55, 255, 26, 443]"
