,Neighbors,Confusion Matrix
0,5,"[173, 138, 129, 340]"
1,10,"[186, 125, 157, 312]"
2,12,"[181, 130, 152, 317]"
3,14,"[176, 135, 150, 319]"
4,16,"[169, 142, 147, 322]"
5,20,"[168, 143, 138, 331]"
