,Alpha,Confusion Matrix
0,0.0001,"[125, 186, 50, 419]"
1,0.0005,"[167, 144, 99, 370]"
2,0.0008,"[126, 185, 63, 406]"
3,0.001,"[125, 186, 60, 409]"
4,0.002,"[158, 153, 89, 380]"
5,0.003,"[117, 194, 56, 413]"
6,0.004,"[174, 137, 93, 376]"
7,0.005,"[154, 157, 79, 390]"
8,0.01,"[130, 181, 62, 407]"
