,Neighbors,Confusion Matrix
0,5,"[172, 139, 148, 321]"
1,10,"[190, 121, 161, 308]"
2,12,"[187, 124, 158, 311]"
3,14,"[179, 132, 136, 333]"
4,16,"[187, 124, 132, 337]"
5,20,"[187, 124, 136, 333]"
