,Neighbors,Confusion Matrix
0,5,"[169, 141, 128, 341]"
1,10,"[194, 116, 166, 303]"
2,12,"[183, 127, 150, 319]"
3,14,"[186, 124, 151, 318]"
4,16,"[171, 139, 137, 332]"
5,20,"[179, 131, 149, 320]"
