,Neighbors,Confusion Matrix
0,5,"[163, 148, 145, 324]"
1,10,"[183, 128, 151, 318]"
2,12,"[190, 121, 142, 327]"
3,14,"[192, 119, 140, 329]"
4,16,"[177, 134, 121, 348]"
5,20,"[193, 118, 114, 355]"
